t;Wt;Rt;Tt
0;8.043711538;0;27.85619231
1;8.051480769;0;27.79432692
2;8.076173077;0;27.73944231
3;8.123557692;0;27.70207692
4;8.161057692;0;27.69432692
5;8.176557692;0;27.71082692
6;8.199769231;0.000673077;27.73517308
7;8.234730769;0.047788462;27.76815385
8;8.236769231;0.149519231;27.81313462
9;8.187230769;0.264557692;27.86061538
10;8.104538462;0.366961538;27.89630769
11;7.974192308;0.425884615;27.91142308
12;7.800461538;0.440365385;27.90965385
13;7.616884615;0.418346154;27.89951923
14;7.459403846;0.353692308;27.88840385
15;7.372153846;0.254096154;27.88307692
16;7.351038462;0.142173077;27.88688462
17;7.402442308;0.038903846;27.90063462
18;7.507153846;0.000173077;27.91284615
19;7.619711538;0;27.92525
20;7.708788462;0;27.93796154
21;7.767346154;0;27.941
22;7.796384615;0;27.91836538
23;7.785;0;27.86732692
