t;Wt;Rt;Tt
0;8.183942308;0;27.85792308
1;8.221480769;0;27.80257692
2;8.259442308;0;27.75796154
3;8.318269231;0;27.73238462
4;8.392096154;0;27.72844231
5;8.487807692;0;27.74542308
6;8.578596154;0.000846154;27.768
7;8.636653846;0.057115385;27.80348077
8;8.6265;0.171711538;27.85405769
9;8.540692308;0.293269231;27.90798077
10;8.386038462;0.390692308;27.95013462
11;8.185519231;0.449692308;27.96815385
12;7.967884615;0.464365385;27.96905769
13;7.792269231;0.435615385;27.96428846
14;7.694942308;0.361442308;27.95857692
15;7.666211538;0.250653846;27.95778846
16;7.667884615;0.137134615;27.96117308
17;7.71775;0.037615385;27.96761538
18;7.826153846;0.000173077;27.97144231
19;7.957173077;0;27.98157692
20;8.061211538;0;27.99196154
21;8.103442308;0;27.99348077
22;8.094826923;0;27.96948077
23;8.061096154;0;27.91815385
