t;Wt;Rt;Tt
0;7.696730769;0;27.81798077
1;7.699961538;0;27.76225
2;7.72625;0;27.71634615
3;7.778173077;0;27.68694231
4;7.842057692;0;27.68328846
5;7.921769231;0;27.70107692
6;7.999807692;0.000807692;27.72667308
7;8.056692308;0.059307692;27.76109615
8;8.082673077;0.177115385;27.80542308
9;8.044615385;0.309730769;27.85240385
10;7.945538462;0.421403846;27.89228846
11;7.805653846;0.493634615;27.91673077
12;7.653173077;0.519076923;27.92473077
13;7.519807692;0.485;27.92134615
14;7.440442308;0.408826923;27.9175
15;7.433115385;0.294846154;27.92148077
16;7.455115385;0.163596154;27.93107692
17;7.499692308;0.045346154;27.93855769
18;7.570903846;0.000115385;27.94009615
19;7.674615385;0;27.946
20;7.771;0;27.95086538
21;7.847096154;0;27.94951923
22;7.887884615;0;27.92588462
23;7.893288462;0;27.88073077
