t;Wt;Rt;Tt
0;7.822415094;0;27.82941509
1;7.818981132;0;27.76996226
2;7.87190566;0;27.72432075
3;7.986849057;0;27.70073585
4;8.119603774;0;27.70416981
5;8.248886792;0;27.72735849
6;8.34690566;0.000754717;27.76033962
7;8.402132075;0.058792453;27.8010566
8;8.403981132;0.179754717;27.85356604
9;8.355641509;0.301415094;27.90992453
10;8.241339623;0.409301887;27.95833962
11;8.053320755;0.484226415;27.98309434
12;7.81690566;0.510358491;27.98937736
13;7.603603774;0.48454717;27.97877358
14;7.460603774;0.402169811;27.96318868
15;7.425509434;0.289886792;27.94943396
16;7.477622642;0.161075472;27.94433962
17;7.597943396;0.045245283;27.94213208
18;7.740528302;0.000150943;27.94603774
19;7.984603774;0;27.93296226
20;8.073754717;0;27.9459434
21;8.132622642;0;27.94858491
22;8.2;0;27.93354717
23;8.24990566;0;27.89611321
